sttminwgny,date,nyur,avg_month_rate,brooklyn_monthly_housing_index,manhattan_monthly_housing_index,queens_monthly_housing_index,covid
7,1/1/2012,9,4,528070,893738,400830,0
7,2/1/2012,9,4,530211,893508,401132,0
7,3/1/2012,9,4,530367,898377,401240,0
7,4/1/2012,9,4,532311,890966,401286,0
7,5/1/2012,9,4,531441,896442,400849,0
7,6/1/2012,9,4,532478,901863,398813,0
7,7/1/2012,9,4,527295,911286,396863,0
7,8/1/2012,9,4,525312,916866,394022,0
7,9/1/2012,9,3,527261,918671,395660,0
7,10/1/2012,9,3,534184,918955,394720,0
7,11/1/2012,8,3,532894,920972,395115,0
7,12/1/2012,8,3,531106,924816,396814,0
7,1/1/2013,8,3,531786,925198,395048,0
7,2/1/2013,8,4,532165,930023,395137,0
7,3/1/2013,8,4,530095,936338,392400,0
7,4/1/2013,8,3,539582,944007,396966,0
7,5/1/2013,8,4,548214,951090,396502,0
7,6/1/2013,8,4,552480,959479,396507,0
7,7/1/2013,8,4,560433,971300,398122,0
7,8/1/2013,8,4,564731,980412,401303,0
7,9/1/2013,8,4,570551,986908,402692,0
7,10/1/2013,8,4,572690,994311,404031,0
7,11/1/2013,7,4,571131,1004465,406605,0
7,12/1/2013,7,4,568876,1010317,406411,0
8,1/1/2014,7,4,574362,1016311,411032,0
8,2/1/2014,7,4,575778,1026616,412077,0
8,3/1/2014,7,4,577817,1034215,413784,0
8,4/1/2014,7,4,583815,1041273,413273,0
8,5/1/2014,6,4,592503,1047086,414820,0
8,6/1/2014,6,4,597910,1056993,415641,0
8,7/1/2014,6,4,606413,1065719,419515,0
8,8/1/2014,6,4,613080,1070769,419728,0
8,9/1/2014,6,4,613981,1073993,419531,0
8,10/1/2014,6,4,620622,1078070,421809,0
8,11/1/2014,6,4,625622,1081627,420903,0
8,12/1/2014,6,4,621405,1084595,422559,0
9,1/1/2015,6,4,629348,1093817,425007,0
9,2/1/2015,6,4,642371,1091412,427701,0
9,3/1/2015,6,4,643249,1091733,425556,0
9,4/1/2015,6,4,644599,1092743,426827,0
9,5/1/2015,5,4,652546,1104343,428737,0
9,6/1/2015,5,4,656739,1112002,432569,0
9,7/1/2015,5,4,664062,1122285,437592,0
9,8/1/2015,5,4,671958,1129681,440235,0
9,9/1/2015,5,4,679329,1133930,445288,0
9,10/1/2015,5,4,676643,1135895,447289,0
9,11/1/2015,5,4,681946,1148558,450069,0
9,12/1/2015,5,4,690935,1148298,450353,0
9,1/1/2016,5,4,687318,1150000,450000,0
9,2/1/2016,5,4,684812,1148017,454608,0
9,3/1/2016,5,4,694315,1140768,452155,0
9,4/1/2016,5,4,689256,1141267,453160,0
9,5/1/2016,5,4,690365,1144445,455653,0
9,6/1/2016,5,4,693113,1150336,456235,0
9,7/1/2016,5,3,701138,1154933,457433,0
9,8/1/2016,5,3,699489,1153464,458463,0
9,9/1/2016,5,3,698443,1152749,461503,0
9,10/1/2016,5,3,697998,1153656,466202,0
9,11/1/2016,5,4,700883,1153666,466513,0
9,12/1/2016,5,4,705620,1152830,470377,0
10,1/1/2017,5,4,707969,1157696,475303,0
10,2/1/2017,5,4,707303,1152815,473478,0
10,3/1/2017,5,4,717787,1150547,471825,0
10,4/1/2017,5,4,723332,1158102,474149,0
10,5/1/2017,5,4,725671,1161007,478105,0
10,6/1/2017,5,4,730150,1167754,481046,0
10,7/1/2017,5,4,734124,1169248,483679,0
10,8/1/2017,5,4,729019,1169152,486356,0
10,9/1/2017,5,4,725693,1169795,492773,0
10,10/1/2017,5,4,724668,1169170,493058,0
10,11/1/2017,5,4,718840,1170453,496924,0
10,12/1/2017,5,4,717709,1164719,498959,0
10,1/1/2018,5,4,726830,1166971,502969,0
10,2/1/2018,4,4,722615,1157970,505139,0
10,3/1/2018,4,4,725446,1159200,505981,0
10,4/1/2018,4,4,724241,1161224,508380,0
10,5/1/2018,4,5,724705,1158499,512897,0
10,6/1/2018,4,5,726589,1155159,512872,0
10,7/1/2018,4,5,732892,1155357,514865,0
10,8/1/2018,4,5,730001,1156673,514818,0
10,9/1/2018,4,5,724669,1145829,517604,0
10,10/1/2018,4,5,724893,1144436,516715,0
10,11/1/2018,4,5,722009,1141311,517094,0
10,12/1/2018,4,5,718762,1136320,518430,0
11,1/1/2019,4,4,716045,1130904,516045,0
11,2/1/2019,4,4,717916,1125282,517647,0
11,3/1/2019,4,4,720606,1121235,516493,0
11,4/1/2019,4,4,724388,1114034,517740,0
11,5/1/2019,4,4,726485,1117544,520841,0
11,6/1/2019,4,4,720803,1115770,518216,0
11,7/1/2019,4,4,718616,1113526,518538,0
11,8/1/2019,4,4,711519,1108053,515037,0
11,9/1/2019,4,4,716298,1100801,515209,0
11,10/1/2019,4,4,717621,1100515,515593,0
11,11/1/2019,4,4,713619,1100973,515402,0
11,12/1/2019,4,4,713837,1093098,514013,0
12,1/1/2020,4,4,722003,1092332,516200,0
12,2/1/2020,4,3,719581,1084472,515786,0
12,3/1/2020,4,3,721166,1079582,520170,1
12,4/1/2020,16,3,717783,1080438,517451,1
12,5/1/2020,17,3,710705,1078645,512360,1
12,6/1/2020,14,3,712089,1072464,515123,1
12,7/1/2020,13,3,713739,1070122,511981,1
12,8/1/2020,11,3,703371,1063702,509388,1
12,9/1/2020,10,3,701397,1056666,511934,1
12,10/1/2020,9,3,700597,1048779,509361,1
12,11/1/2020,9,3,696913,1038891,510914,1
12,12/1/2020,9,3,688005,1032307,514969,1
13,1/1/2021,9,3,683907,1030291,514931,1
13,2/1/2021,8,3,676484,1028155,513940,1
13,3/1/2021,8,3,672522,1023761,508499,1
13,4/1/2021,8,3,675962,1024884,511873,1
13,5/1/2021,8,3,681840,1027805,513498,1
13,6/1/2021,8,3,681304,1032923,511261,1
13,7/1/2021,7,3,686253,1040109,509437,1
13,8/1/2021,7,3,686659,1044045,512024,1
13,9/1/2021,6,3,693181,1049653,511437,1
13,10/1/2021,6,3,696687,1059084,510163,1
13,11/1/2021,6,3,689662,1066124,513611,1
13,12/1/2021,5,3,697050,1070311,513899,1
13,1/1/2022,5,3,691554,1076342,516616,1
13,2/1/2022,5,4,692938,1081802,518201,1
