drivername,championshipposition,yearofseason,racingseries,points,sprintwins,featurewins,podiums,pointsfinishes,totalwins,promoted,team,constructorschampionshipstanding,numberofraces,polepositions,dnsdnfdsq,nationality,dnf_rate,win_rate,nat_id,pole_rate,podium_rate,points_per_race,rev_championship_pos,rev_const_champ,constructorsstandings,points_finish_rate,post_formalization,z_rev,z_points,z_pole,z_dnf,perf_index,driver_id,team_id,const_champ
L. Fornaroli,1,2025,FIA Formula 2,211,3,1,8,23,4,0,Invicta Racing,1,27,3,2,Italy,.074074075,.14814815,27,.11111111,.2962963,7.814815,-1,-1,,.85185188,1,1.6320499,1.8556448,2.0582812,-.84574348,6.3917193,59,16,1
J. Crawford,2,2025,FIA Formula 2,175,1,2,7,17,3,0,DAMS Lucas Oil,4,27,2,3,America,.11111111,.11111111,1,.074074075,.25925925,6.4814816,-2,-4,,.62962961,1,1.521082,1.0265135,1.2428505,-.59882945,4.3892756,46,11,4
R. Verschoor,3,2025,FIA Formula 2,170,2,2,7,21,4,0,MP Motorsport,5,27,0,3,Netherlands,.11111111,.14814815,32,0,.25925925,6.2962961,-3,-5,,.77777779,1,1.4101142,1.5792677,-.38801068,-.59882945,3.2002006,102,18,5
L. Browning,4,2025,FIA Formula 2,162,0,1,9,16,1,0,Hitech TGR,2,27,1,2,Britian,.074074075,.037037037,9,.037037037,.33333334,6,-4,-2,,.5925926,1,1.2991463,.88832498,.42741993,-.84574348,3.4606347,57,15,2
A. Dunne,5,2025,FIA Formula 2,150,0,2,8,19,2,0,Rodin Motorsport,7,27,2,6,Ireland,.22222222,.074074075,25,.074074075,.2962963,5.5555553,-5,-7,,.7037037,1,1.1881784,1.3028905,1.2428505,.14191264,3.5920069,5,25,7
A. Lindblad,6,2025,FIA Formula 2,134,2,1,5,17,3,1,Campos Racing,3,27,1,3,Britian,.11111111,.11111111,9,.037037037,.18518518,4.9629631,-6,-3,,.62962961,1,1.0772105,1.0265135,.42741993,-.59882945,3.1299734,10,5,3
D. Beganovic,7,2025,FIA Formula 2,116,1,0,4,15,1,0,Hitech TGR,2,27,1,2,Sweden,.074074075,.037037037,39,.037037037,.14814815,4.2962961,-7,-2,,.55555558,1,.96624261,.75013649,.42741993,-.84574348,2.9895425,25,15,2
J. Martí,8,2025,FIA Formula 2,112,3,0,5,14,3,0,Campos Racing,3,23,0,3,Spain,.13043478,.13043478,38,0,.2173913,4.869565,-8,-3,,.60869563,1,.85527474,.94840682,-.38801068,-.47000474,1.8856757,52,5,3
J. Dürksen,9,2025,FIA Formula 2,107,1,1,8,10,2,0,AIX Racing,9,27,0,4,Paraguay,.14814815,.074074075,35,0,.2962963,3.9629629,-9,-9,,.37037036,1,.74430686,.059193626,-.38801068,-.35191542,.76740521,49,1,9
R. Stanek,10,2025,FIA Formula 2,105,0,1,5,13,1,0,Invicta Racing,1,27,2,1,Czech Republic,.037037037,.037037037,16,.074074075,.18518518,3.8888888,-10,-1,,.48148149,1,.63333893,.47375935,1.2428505,-1.0926574,3.4426062,100,16,1
