drivername,championshipposition,yearofseason,points,totalwins,podiums,pointsfinishes,numberofraces,polepositions,dnsdnfdsq,promotedf2,promotedf1,team,constructorsstandings,nationality,rev_championship_pos,pole_rate,podium_rate,points_per_race,dnf_rate,win_rate,rev_const_champ,points_finish_rate,driver_id,post_formalization,z_rev,z_points,z_pole,perf_index
Rafael Câmara,1,2025,166,1,2,9,19,5,3,1,0,Trident,2,Brazil,-1,.2631579,.10526316,8.7368422,.15789473,.052631579,-2,.47368422,121,1,1.6541409,.55846971,5.9606309,8.1732416
Nikola Tsolov,2,2025,124,1,5,11,18,3,2,1,0,Campos Racing,1,Bulgaria,-2,.16666667,.27777779,6.8888888,.11111111,.055555556,-1,.6111111,107,1,1.5556436,1.0360357,3.6394846,6.231164
Mari Boya,3,2025,116,1,3,11,19,0,1,1,0,Campos Racing,1,Spain,-3,0,.15789473,6.1052632,.052631579,.052631579,-1,.57894737,92,1,1.4571462,.92426497,-.36976811,2.0116429
Tim Tramnitz,4,2025,94,1,3,11,18,0,1,0,0,MP Motorsport,3,Germany,-4,0,.16666667,5.2222223,.055555556,.055555556,-3,.6111111,143,1,1.3586488,1.0360357,-.36976811,2.0249164
Martinius Stenshorne,5,2025,89,1,3,8,19,0,1,1,0,Hitech TGR,8,Norway,-5,0,.15789473,4.6842103,.052631579,.052631579,-8,.42105263,93,1,1.2601513,.37557209,-.36976811,1.2659552
Noah Strømsted,6,2025,84,0,1,7,19,0,3,0,0,Trident,2,Denmark,-6,0,.052631579,4.4210525,.15789473,0,-2,.36842105,108,1,1.1616539,.19267441,-.36976811,.98456019
Tasanapol Inthraphuvasak,7,2025,74,2,2,8,19,0,0,1,0,Campos Racing,1,Thailand,-7,0,.10526316,3.8947368,0,.10526316,-1,.42105263,137,1,1.0631565,.37557209,-.36976811,1.0689604
Théophile Naël,8,2025,72,0,3,8,19,0,2,0,0,Van Amersfoort Racing,5,France,-8,0,.15789473,3.7894738,.10526316,0,-5,.42105263,141,1,.96465909,.37557209,-.36976811,.97046304
Tuukka Taponen,9,2025,67,0,3,8,19,0,2,0,0,ART Grand Prix,4,Finland,-9,0,.15789473,3.5263157,.10526316,0,-4,.42105263,145,1,.86616164,.37557209,-.36976811,.87196565
Alessandro Giusti,10,2025,67,0,2,12,19,0,1,0,0,MP Motorsport,3,France,-10,0,.10526316,3.5263157,.052631579,0,-3,.63157892,2,1,.76766425,1.1071625,-.36976811,1.5050586
Roman Bilinski,11,2025,65,1,3,9,19,0,2,1,0,Rodin Motorsport,6,Poland,-11,0,.15789473,3.4210527,.10526316,.052631579,-6,.47368422,129,1,.6691668,.55846971,-.36976811,.85786843
Laurens van Hoepen,12,2025,60,0,2,8,18,0,2,1,0,ART Grand Prix,4,Netherlands,-12,0,.11111111,3.3333333,.11111111,0,-4,.44444445,80,1,.57066941,.45685992,-.36976811,.65776122
Charlie Wurz,13,2025,53,0,2,8,19,0,5,0,0,Trident,2,Austria,-13,0,.10526316,2.7894738,.2631579,0,-2,.42105263,25,1,.47217199,.37557209,-.36976811,.47797596
Callum Voisin,14,2025,52,0,1,9,19,0,1,0,0,Rodin Motorsport,6,United Kingdom,-14,0,.052631579,2.7368422,.052631579,0,-6,.47368422,22,1,.37367457,.55846971,-.36976811,.56237614
Santiago Ramos,15,2025,48,2,2,3,17,0,4,0,0,Van Amersfoort Racing,5,Mexico,-15,0,.11764706,2.8235295,.23529412,.11764706,-5,.17647059,132,1,.27517715,-.47436398,-.36976811,-.56895494
Ugo Ugochukwu,16,2025,43,0,1,6,19,0,3,0,0,Prema Racing,7,United States,-16,0,.052631579,2.2631578,.15789473,0,-7,.31578946,146,1,.17667975,.0097767562,-.36976811,-.18331161
Noel León,17,2025,36,0,2,7,19,0,4,1,0,Prema Racing,7,Mexico,-17,0,.10526316,1.8947369,.21052632,0,-7,.36842105,109,1,.078182325,.19267441,-.36976811,-.098911375
James Wharton,18,2025,25,1,1,4,19,0,2,0,0,ART Grand Prix,4,Australia,-18,0,.052631579,1.3157895,.10526316,.052631579,-4,.21052632,65,1,-.020315092,-.35601845,-.36976811,-.74610168
Ivan Domingues,19,2025,18,1,1,2,19,0,6,0,0,Van Amersfoort Racing,5,Portugal,-19,0,.052631579,.94736844,.31578946,.052631579,-5,.10526316,60,1,-.11881251,-.72181374,-.36976811,-1.2103944
Brad Benavides,20,2025,18,0,0,2,15,2,5,0,0,AIX Racing,9,United States,-20,.13333334,0,1.2,.33333334,0,-9,.13333334,17,1,-.21730992,-.62426829,2.8376341,1.9960558
Nikita Bedrin,21,2025,17,0,0,2,2,0,0,0,0,AIX Racing,9,Italy,-21,0,0,8.5,0,0,-9,1,104,1,-.31580734,2.3874459,-.36976811,1.7018704
Christian Ho,22,2025,17,0,0,4,19,0,2,0,0,DAMS Lucas Oil,10,Singapore,-22,0,0,.89473683,.10526316,0,-10,.21052632,26,1,-.41430476,-.35601845,-.36976811,-1.1400913
Bruno del Pino,23,2025,16,0,1,4,18,0,1,0,0,MP Motorsport,3,Spain,-23,0,.055555556,.8888889,.055555556,0,-3,.22222222,19,1,-.51280218,-.31537455,-.36976811,-1.1979449
Matías Zagazeta,24,2025,13,0,0,2,19,0,3,0,0,DAMS Lucas Oil,10,Peru,-24,0,0,.68421054,.15789473,0,-10,.10526316,95,1,-.61129957,-.72181374,-.36976811,-1.7028815
Brando Badoer,25,2025,13,0,0,3,19,0,4,0,0,Prema Racing,7,Italy,-25,0,0,.68421054,.21052632,0,-7,.15789473,18,1,-.70979702,-.53891611,-.36976811,-1.6184813
Louis Sharp,26,2025,11,0,0,3,19,0,3,0,0,Rodin Motorsport,6,New Zealand,-26,0,0,.57894737,.15789473,0,-6,.15789473,87,1,-.80829442,-.53891611,-.36976811,-1.7169787
